outer_test_subject,top_k,transition_weight,n1_emission_boost,mean_macro_f1,mean_n1_f1,mean_min_class_f1,mean_balanced_accuracy,std_macro_f1,selected
SC401,15,0.5,1.5,0.7134346540107116,0.30174549886408075,0.30174549886408075,0.7153383200255911,0.021753637048114987,False
SC401,20,1.0,1.5,0.7119460653095985,0.2722567044803536,0.2722567044803536,0.7145048996248058,0.026415654448550468,False
SC401,0,0.25,1.2,0.711480258716103,0.30468323500093847,0.30468323500093847,0.714321377299308,0.018299772573438212,False
SC401,0,0.25,1.35,0.7110874049001794,0.3066524730610242,0.3066524730610242,0.7145507032418458,0.01876011904425941,False
SC401,10,1.0,1.75,0.7110062489447844,0.311559516970355,0.311559516970355,0.7079767949718845,0.029583919306127946,False
SC401,0,0.5,1.5,0.7107650225194577,0.28230482774363896,0.28230482774363896,0.7157284037364344,0.016802740003571858,False
SC401,10,0.25,1.2,0.7099574820762922,0.2839615789854065,0.2839615789854065,0.7130509184778043,0.018302995231477222,False
SC401,20,0.5,1.2,0.7098016372852867,0.25048905463470017,0.25048905463470017,0.7175063380703393,0.022389548554109524,False
SC401,10,0.75,1.35,0.7097546566935,0.2524988127602699,0.2524988127602699,0.712728654591259,0.020330985114844075,False
SC401,20,1.0,1.35,0.7096651193265326,0.2616120615822211,0.2616120615822211,0.7125752331404235,0.032387449140352284,False
SC401,5,0.5,1.2,0.708779606652839,0.2527392253136934,0.2527392253136934,0.7135546851502148,0.020876378667236274,False
SC401,10,0.5,1.35,0.7087663705328918,0.26027129336185484,0.26027129336185484,0.7130332012795516,0.016540696851565333,False
SC401,5,1.0,1.75,0.7085454931210047,0.2882536785586113,0.2882536785586113,0.7068443937197296,0.027314516159595254,False
SC401,15,0.25,1.1,0.7081026438696545,0.26206185163272144,0.26206185163272144,0.7144650690328018,0.02090345776989398,False
SC401,5,0.25,1.1,0.7074342900930887,0.26081507896972556,0.26081507896972556,0.7119936302513162,0.02403618812287918,False
SC401,0,0.75,1.5,0.7073591546897873,0.28874013016144073,0.28874013016144073,0.7072643426790493,0.02617430467385321,False
SC401,20,0.5,1.1,0.7069746351130912,0.23293798270458507,0.23293798270458507,0.7157782061427878,0.027806138842926625,False
SC401,0,0.75,1.75,0.7069408388443132,0.2981833872578761,0.2981833872578761,0.7076640351809698,0.027022308055922144,False
SC401,20,0.75,1.2,0.7068177433008748,0.2269058724508172,0.2269058724508172,0.7155626882744969,0.02410283520130588,False
SC401,20,0.25,1.0,0.7067665966417118,0.24388653535914234,0.24388653535914234,0.7129167856103398,0.028154661855214456,False
SC401,0,0.5,1.35,0.706451944504847,0.2645208658355188,0.2645208658355188,0.7128938205298795,0.015992740383742564,False
SC401,10,0.25,1.1,0.7061622460162225,0.26432662880945956,0.26432662880945956,0.7119681083261689,0.01606197521626172,False
SC401,15,0.25,1.0,0.7044925317371838,0.24504371967704158,0.24504371967704158,0.7129120506443625,0.01717366835368275,False
SC401,15,1.0,1.75,0.7042695675948303,0.2906061572191124,0.2906061572191124,0.7017962015384391,0.02922533578837018,False
SC401,10,0.5,1.2,0.7026801262324924,0.23398685107584524,0.23398685107584524,0.7103740064755584,0.015555718272648686,False
SC401,15,0.75,1.35,0.7026416893037208,0.22443013946172333,0.22443013946172333,0.7112253641260085,0.021906766650462244,False
SC401,5,1.0,1.5,0.702417510987247,0.2554996950140087,0.2554996950140087,0.7032272355685121,0.017999581455973978,False
SC401,20,0.75,1.1,0.7017195442938398,0.1977249841597884,0.1977249841597884,0.7141836295250198,0.021637733816813783,False
SC401,20,1.0,1.2,0.7015825853897252,0.22013737458641422,0.22013737458641422,0.709755357349645,0.02787950294468124,False
SC401,0,1.0,1.75,0.7014170282419572,0.2709664992206623,0.2709664992206623,0.7021787982294576,0.02903164020568237,False
SC401,15,0.5,1.2,0.7005819177499344,0.22081305976365626,0.22081305976365626,0.7112792159826545,0.020184452142913645,False
SC401,10,1.0,1.5,0.7004075269490524,0.24979583340539926,0.24979583340539926,0.7023503438551133,0.02344797544037569,False
SC401,10,0.75,1.2,0.6998710370756009,0.21558286130687296,0.21558286130687296,0.7059004431640657,0.018988211661130714,False
